cell_id,pert_iname,pert_idose,pert_itime
A375,CP-724714,10.0 um,24 h
A375,CP-724714,3.33 um,24 h
A375,CP-724714,1.11 um,24 h
A375,CP-724714,0.37 um,24 h
A375,CP-724714,0.12 um,24 h
A375,CP-724714,0.04 um,24 h
A375,neratinib,10.0 um,24 h
A375,neratinib,3.33 um,24 h
A375,neratinib,1.11 um,24 h
A375,neratinib,0.37 um,24 h
A375,neratinib,0.12 um,24 h
A375,neratinib,0.04 um,24 h
A375,crizotinib,10.0 um,24 h
A375,crizotinib,3.33 um,24 h
A375,crizotinib,1.11 um,24 h
A375,crizotinib,0.37 um,24 h
A375,crizotinib,0.12 um,24 h
A375,HG-5-113-01,10.0 um,24 h
A375,HG-5-113-01,3.33 um,24 h
A375,HG-5-113-01,1.11 um,24 h
A375,HG-5-113-01,0.37 um,24 h
A375,HG-5-113-01,0.12 um,24 h
A375,HG-5-113-01,0.04 um,24 h
A375,tozasertib,10.0 um,24 h
A375,tozasertib,3.33 um,24 h
A375,tozasertib,1.11 um,24 h
A375,tozasertib,0.37 um,24 h
A375,tozasertib,0.12 um,24 h
A375,tozasertib,0.04 um,24 h
A375,AKT-inhibitor-1-2,10.0 um,24 h
A375,AKT-inhibitor-1-2,3.33 um,24 h
A375,AKT-inhibitor-1-2,1.11 um,24 h
A375,AKT-inhibitor-1-2,0.37 um,24 h
A375,AKT-inhibitor-1-2,0.12 um,24 h
A375,AKT-inhibitor-1-2,0.04 um,24 h
A375,PD-0325901,10.0 um,24 h
A375,PD-0325901,3.33 um,24 h
A375,PD-0325901,1.11 um,24 h
A375,PD-0325901,0.37 um,24 h
A375,PD-0325901,0.12 um,24 h
A375,PD-0325901,0.04 um,24 h
A375,NU-7441,10.0 um,24 h
A375,NU-7441,3.33 um,24 h
A375,NU-7441,1.11 um,24 h
A375,NU-7441,0.37 um,24 h
A375,NU-7441,0.12 um,24 h
A375,NU-7441,0.04 um,24 h
A375,vemurafenib,10.0 um,24 h
A375,vemurafenib,3.33 um,24 h
A375,vemurafenib,1.11 um,24 h
A375,vemurafenib,0.37 um,24 h
A375,vemurafenib,0.12 um,24 h
A375,vemurafenib,0.04 um,24 h
A375,mitoxantrone,10.0 um,24 h
A375,mitoxantrone,3.33 um,24 h
A375,mitoxantrone,1.11 um,24 h
A375,mitoxantrone,0.37 um,24 h
A375,mitoxantrone,0.12 um,24 h
A375,mitoxantrone,0.04 um,24 h
A375,dasatinib,10.0 um,24 h
A375,dasatinib,3.33 um,24 h
A375,dasatinib,1.11 um,24 h
A375,dasatinib,0.37 um,24 h
A375,dasatinib,0.12 um,24 h
A375,dasatinib,0.04 um,24 h
A375,barasertib-HQPA,10.0 um,24 h
A375,barasertib-HQPA,3.33 um,24 h
A375,barasertib-HQPA,1.11 um,24 h
A375,barasertib-HQPA,0.37 um,24 h
A375,barasertib-HQPA,0.12 um,24 h
A375,barasertib-HQPA,0.04 um,24 h
A375,enzastaurin,10.0 um,24 h
A375,enzastaurin,3.33 um,24 h
A375,enzastaurin,1.11 um,24 h
A375,enzastaurin,0.37 um,24 h
A375,enzastaurin,0.12 um,24 h
A375,enzastaurin,0.04 um,24 h
A375,WZ-3105,10.0 um,24 h
A375,WZ-3105,3.33 um,24 h
A375,WZ-3105,1.11 um,24 h
A375,WZ-3105,0.37 um,24 h
A375,WZ-3105,0.12 um,24 h
A375,WZ-3105,0.04 um,24 h
A375,GSK-1059615,10.0 um,24 h
A375,GSK-1059615,3.33 um,24 h
A375,GSK-1059615,1.11 um,24 h
A375,GSK-1059615,0.37 um,24 h
A375,GSK-1059615,0.12 um,24 h
A375,GSK-1059615,0.04 um,24 h
A375,PF-431396,10.0 um,24 h
